VDBName,SchemaName,Name,TABLE_TYPE,Description,TYPE_CAT,TYPE_SCHEM,TYPE_NAME,SELF_REFERENCING_COL_NAME,REF_GENERATION,IsPhysical
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TEST_DAILY_QLR,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TEST_GAS_COMP_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TEST_PRESSURE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TEST_PUMPING,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TOOLS_PARA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TOOLS_USE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TRANSFER,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_TRIPPING_LINER,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_UP_DOWN,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_UP_DOWN_LIST,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_WELL_FLOW_DISP,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_WELL_FLUSHING,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_WELL_SITE_READY,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_WORKLOAD_CONFIRM,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_OPS_WORK_LIST,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_ACID_FRACTURE_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_CLEANUP_ADDI_PUMP_INJE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_CONT_MIXING_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_CONT_MIXING_DATA_EXPA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_FRAC_BLENDER_TRUCK_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_PRES_TEMP_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_PRODUCT_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_RET_PUMP_INJECT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RET_WATE_PROP_CHANGE_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DH_RPT_EQUIP_STAT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.DR_ACH_ABANDON_PROCESS,TABLE,null,null,null,null,null,null,true
